Age,Chubb 安達,Blue Cross 藍十字,FTLife 富通,Zurich 蘇黎世,YF Life 萬通,Dah Sing 大新,BOC Life 中銀人壽,BOC Group 中銀集團,Taiping Life 太平人壽,China Taiping 中國太平,Sun Life 永明,Well Link Life 立橋人壽,MSIG,Liberty 利寶,Manulife 宏利,Asia Insurance 亞洲保險,Bupa 保柏,Bowtie 保泰,Prudential 保誠,Cigna Worldwide 信諾環球,Bolttech 保特,HSBC Life 滙豐,Hong Kong Life 香港人壽,FWD 富衛人壽,China Life 中國人壽,AIA 友邦,Avo 安我,AXA 安盛,ZA Life 眾安人壽
58,"6,824","10,500","6,717.00","6,816","6,429","10,449","8,289.00","8,447","8,186.77","9,192","5,161.00","6,396.00","9,666","6,621","5,380","6,948","9,356",4728,"7,450.54","7,083","6,142","6,943","7,067.00","6,849","5,824",6451.2,"5,191","6,612","4,775"
59,"7,048","11,095","7,069.00","7,200","6,708","10,912","8,555.00","8,812","8,540.54","9,830","5,419.00","6,780.00","9,666","6,951","5,651","6,948","9,796",4920,"7,827.19","7,409","6,440","7,422","7,376.00","7,162","6,074",6790.4,"5,376","7,069","4,965"
60,"7,285","11,619","7,435.00","7,656","6,996","11,388","8,830.00","9,188","8,905.62","10,489","5,692.00","7,221.00","9,666","7,281","5,978","8,099","10,250",5268,"8,480.75","7,820","6,736","7,887","7,696.00","7,572","6,334",7251.2,"5,785","7,511","5,315"
61,"7,612","12,069","7,926.00","8,292","7,290","11,871","9,184.00","9,577","9,282.00","11,088","5,958.00","7,618.00","16,200","7,741","6,479","8,099","10,719",5592,"9,188.79","8,195","7,108","8,334","8,030.00","8,007","6,602",7795.2,"6,162","7,937","5,650"
62,"7,853","12,534","8,468.00","8,976","7,585","12,360","9,565.00","9,977","9,669.69","11,633","6,237.00","8,006.00","16,200","8,201","6,862","8,099","11,199",6000,"9,956.04","8,589","7,491","8,765","8,371.00","8,438","6,876",8262.4,"6,592","8,348","6,055"
63,"8,123","13,018","9,061.00","9,612","7,891","12,983","10,005.00","10,537","10,212.46","11,948","6,530.00","8,399.00","16,200","8,661","7,257","8,099","11,689",6384,"10,787.30","9,000","7,883","9,121","8,848.00","8,896","7,264",8710.4,"6,999","8,687","6,440"
64,"8,438","13,521","9,706.00","9,876","8,200","13,799","10,412.00","11,100","10,758.46","12,208","6,835.00","8,793.00","16,200","9,121","7,675","8,099","12,186",6732,"11,687.93","9,433","8,374","9,477","9,327.00","9,377","7,652",9100.8,"7,559","9,026","6,800"
65,"8,751","14,208","10,402.00","10,116","8,511","14,609","11,379.00","11,660","11,301.23","12,735","7,155.00","9,193.00","16,200","9,581","8,175","11,825","12,689",7056,"12,247.71","9,886","8,833","9,850","9,806.00","9,996","8,038",9766.4,"8,937","9,381","7,125"
66,"9,079","15,097","11,143.00","10,716","8,747","15,404","11,985.00","12,207","11,831.08","13,280","7,491.00","9,653.00","16,200","10,088","8,544","11,825","13,195",7392,"12,834.31","10,380","9,322","10,239","10,275.00","10,612","8,415",10131.2,"9,729","9,751","7,460"
67,"9,414","16,042","11,872.00","11,136","8,994","16,184","12,481.00","12,740","12,348.00","13,847","7,842.00","10,135.00","16,200","10,595","8,919","11,825","13,699",7728,"13,448.96","10,899","9,841","10,644","10,731.00","11,227","8,784",10598.4,"9,854","10,137","7,810"
